iter	RMSE
0	0.3945308738
1	0.3900348835
2	0.3855962269
3	0.3813324908
4	0.3771133328
5	0.372760274
6	0.368721079
7	0.3647847409
8	0.3607064926
9	0.3565858195
10	0.3527855907
11	0.3492072607
12	0.3458505144
13	0.3422147188
14	0.3385005199
15	0.3349701375
16	0.3314622289
17	0.3279991251
18	0.3245213851
19	0.3212042064
20	0.3178721996
21	0.3145297295
22	0.3112837851
23	0.3082892125
24	0.3053223802
25	0.3022759948
26	0.2994128207
27	0.2965472119
28	0.2938489949
29	0.2910902583
30	0.2883465404
31	0.2856031041
32	0.2828659888
33	0.28029899
34	0.2777390355
35	0.2751580204
36	0.2727701682
37	0.2703924392
38	0.2680670025
39	0.2655874551
40	0.2633361587
41	0.2611074897
42	0.2589599111
43	0.2569272875
44	0.2548441544
45	0.2526898446
46	0.2505818589
47	0.2486252049
48	0.2465067977
49	0.2444507191
50	0.2425345347
51	0.2405710419
52	0.238827435
53	0.2370080649
54	0.2351375431
55	0.2333707806
56	0.2315686055
57	0.2296594612
58	0.2280016162
59	0.226503663
60	0.2249330326
61	0.2233654782
62	0.2218243089
63	0.2202963292
64	0.218838719
65	0.2173500914
66	0.215890184
67	0.2143980067
68	0.2129766195
69	0.2115790741
70	0.2101423072
71	0.2086932939
72	0.2072211917
73	0.2060394151
74	0.2048070364
75	0.203465374
76	0.202216454
77	0.2010126989
78	0.1998742858
79	0.1988726429
80	0.1976153511
81	0.1965362772
82	0.1953628989
83	0.194173342
84	0.19291962
85	0.1918203536
86	0.190800042
87	0.1897946121
88	0.1889480947
89	0.1879043253
90	0.1869099997
91	0.1859360221
92	0.1850425475
93	0.1839683855
94	0.1830063885
95	0.1822091433
96	0.1812155429
97	0.1802562052
98	0.1793045273
99	0.1785805591
100	0.1777688817
101	0.1769305743
102	0.1761231911
103	0.175307525
104	0.1744152236
105	0.1735559871
106	0.1727601342
107	0.1719452347
108	0.1711429793
109	0.1703622773
110	0.1696399811
111	0.1690034654
112	0.1682630962
113	0.1675070985
114	0.1669110751
115	0.1661932511
116	0.1655611569
117	0.1648689856
118	0.1642576166
119	0.1636167801
120	0.1631112261
121	0.1624659409
122	0.1618283542
123	0.1613098418
124	0.1608287939
125	0.1602905175
126	0.159640829
127	0.1591559494
128	0.158544237
129	0.1579775388
130	0.1575435352
131	0.1570198657
132	0.1565221915
133	0.1561082635
134	0.1555582566
135	0.1549991303
136	0.1544125653
137	0.1540033778
138	0.1534790159
139	0.1528983286
140	0.1523947991
141	0.1519528292
142	0.1515200655
143	0.1511171468
144	0.1506827362
145	0.15022589
146	0.1498009786
147	0.149374711
148	0.148931178
149	0.1484962663
150	0.1480673263
151	0.1476874115
152	0.1473357971
153	0.1469078258
154	0.146566703
155	0.146187173
156	0.1457804907
157	0.1453590096
158	0.1449519505
159	0.1445304664
160	0.1441697176
161	0.1439124832
162	0.1435563893
163	0.1432145936
164	0.1428662785
165	0.1425822299
166	0.1422320764
167	0.1418532678
168	0.1414372349
169	0.1411150287
170	0.140776105
171	0.1404037484
172	0.1400411044
173	0.1397323298
174	0.1394196929
175	0.1390627476
176	0.1387735268
177	0.1385206059
178	0.138183153
179	0.1378089428
180	0.1374538968
181	0.1371575637
182	0.1369479682
183	0.1366680858
184	0.1363999306
185	0.1361080231
186	0.1358201496
187	0.1355393624
188	0.1352869658
189	0.1349599958
190	0.1347047441
191	0.134420747
192	0.1341493971
193	0.1338407161
194	0.1335452356
195	0.1332321849
196	0.1329713548
197	0.1327024697
198	0.1324754034
199	0.1322050913
200	0.131957371
201	0.1317176941
202	0.1315089504
203	0.1312567971
204	0.1310047616
205	0.1308008959
206	0.1305537276
207	0.1302803229
208	0.1300090142
209	0.1297924498
210	0.1295890313
211	0.129405231
212	0.1292618125
213	0.1290710931
214	0.1288753812
215	0.1286551189
216	0.128395128
217	0.128203995
218	0.1279903051
219	0.1277862736
220	0.1275508731
221	0.1273610862
222	0.1271578298
223	0.1269331177
224	0.1266960573
225	0.126537513
226	0.1263409398
227	0.1261363069
228	0.1259356256
229	0.125807348
230	0.125562548
231	0.125350182
232	0.1251680677
233	0.1249553326
234	0.1248010389
235	0.1246285143
236	0.124427546
237	0.1242805138
238	0.1241369896
239	0.1239538626
240	0.1236883223
241	0.1235389248
242	0.1233670751
243	0.1232503289
244	0.1229848143
245	0.1227909164
246	0.1226576647
247	0.1225239804
248	0.1223630973
249	0.1221749824
250	0.12200606
251	0.1218502557
252	0.1217109777
253	0.1215627472
254	0.12137175
255	0.1212017715
256	0.1210166645
257	0.1208725489
258	0.1207070985
259	0.1205135197
260	0.1203227061
261	0.1201562211
262	0.1199555382
263	0.1198376459
264	0.1197150207
265	0.1195610534
266	0.1194768385
267	0.1193318222
268	0.1192087973
269	0.119067618
270	0.1189331835
271	0.1188130905
272	0.1187002736
273	0.1185984067
274	0.1184352101
275	0.1182826322
276	0.1181549411
277	0.1180238668
278	0.1179400214
279	0.1178368567
280	0.1176970814
281	0.1176228381
282	0.1174953585
283	0.1173865219
284	0.1172441361
285	0.1171232632
286	0.1169910035
287	0.1168618286
288	0.1167281182
289	0.1165949353
290	0.1164727255
291	0.1163306563
292	0.1162018295
293	0.1161081844
294	0.1160493199
295	0.1159351257
296	0.1158146525
297	0.1156808784
298	0.1155452491
299	0.1154269327
300	0.1153898826
301	0.1152774126
302	0.115153074
303	0.1150637556
304	0.1149621326
305	0.1148387492
306	0.1147221693
307	0.1146123464
308	0.1145560293
309	0.1144194684
310	0.1143525564
311	0.1143139316
312	0.1142028161
313	0.11408269
314	0.1139550467
315	0.1139026922
316	0.1138216152
317	0.1136905375
318	0.113579346
319	0.1134737864
320	0.1133807423
321	0.1132588947
322	0.1131881858
323	0.1130492303
324	0.1129597183
325	0.112795707
326	0.11271317
327	0.1126277802
328	0.1125338774
329	0.1124140619
330	0.1123354652
331	0.1121785829
332	0.1120900061
333	0.1119962354
334	0.111853939
335	0.1117613916
336	0.1117188577
337	0.1116919933
338	0.1116714342
339	0.1115918817
340	0.1114883784
341	0.1113740774
342	0.1113498143
343	0.1112280765
344	0.1111325002
345	0.1110346817
346	0.1109271635
347	0.1108265963
348	0.1107428667
349	0.11068804
350	0.1105801261
351	0.1105409005
352	0.1104362738
353	0.1103424364
354	0.1102067289
355	0.1101558125
356	0.1101158702
357	0.1100338112
358	0.1099408127
359	0.1098592964
360	0.1097685703
361	0.1096976582
362	0.1096429696
363	0.1095546469
364	0.109468321
365	0.1094221798
