iter	Passed	Remaining
0	1	5446
1	1	3845
2	2	3292
3	3	2993
4	3	2868
5	4	2781
6	4	2740
7	5	2702
8	6	2639
9	6	2603
10	7	2557
11	7	2513
12	8	2494
13	8	2471
14	9	2454
15	10	2441
16	10	2424
17	11	2405
18	11	2392
19	12	2395
20	12	2388
21	13	2386
22	14	2387
23	14	2402
24	16	2508
25	16	2495
26	17	2494
27	17	2479
28	18	2468
29	18	2456
30	19	2457
31	20	2445
32	20	2432
33	21	2423
34	21	2418
35	22	2420
36	23	2413
37	23	2408
38	24	2401
39	24	2395
40	25	2394
41	25	2390
42	26	2391
43	27	2385
44	27	2381
45	28	2376
46	28	2372
47	29	2392
48	30	2390
49	30	2387
50	31	2384
51	32	2380
52	32	2376
53	33	2370
54	33	2367
55	34	2361
56	34	2360
57	35	2360
58	36	2365
59	37	2376
60	37	2384
61	38	2380
62	38	2375
63	39	2372
64	40	2377
65	40	2380
66	42	2420
67	42	2430
68	43	2437
69	45	2471
70	45	2466
71	46	2462
72	46	2460
73	47	2455
74	47	2450
75	48	2449
76	49	2445
77	49	2445
78	50	2441
79	50	2435
80	51	2430
81	51	2424
82	52	2420
83	53	2416
84	53	2414
85	54	2410
86	54	2406
87	55	2401
88	55	2397
89	56	2393
90	56	2390
91	57	2387
92	58	2384
93	58	2379
94	59	2403
95	60	2400
96	60	2397
97	61	2397
98	62	2399
99	63	2401
100	63	2403
101	64	2401
102	65	2407
103	66	2430
104	66	2428
105	67	2423
106	68	2419
107	68	2415
108	69	2411
109	69	2408
110	70	2405
111	70	2405
112	71	2407
113	73	2434
114	73	2431
115	74	2430
116	74	2428
117	75	2425
118	76	2423
119	76	2420
120	77	2418
121	77	2415
122	78	2412
123	79	2431
124	80	2427
125	80	2424
126	81	2420
127	81	2417
128	82	2419
129	83	2416
130	83	2413
131	84	2419
132	85	2417
133	85	2413
134	86	2410
135	86	2407
136	87	2405
137	87	2402
138	88	2400
139	89	2398
140	89	2396
141	90	2392
142	90	2390
143	91	2389
144	91	2386
145	92	2384
146	93	2382
147	93	2378
148	94	2375
149	94	2373
150	95	2371
151	95	2368
152	96	2365
153	96	2362
154	97	2360
155	97	2357
156	98	2355
157	98	2351
158	99	2349
159	100	2347
160	100	2344
161	101	2340
162	101	2339
163	102	2336
164	102	2336
165	103	2333
166	103	2330
167	104	2329
168	105	2328
169	105	2328
170	106	2325
171	106	2323
172	107	2320
173	107	2318
174	108	2315
175	108	2312
176	109	2310
177	110	2308
178	110	2305
179	111	2304
180	111	2301
181	112	2299
182	112	2296
183	113	2294
184	113	2292
185	114	2290
186	114	2287
187	115	2285
188	115	2284
189	116	2283
190	117	2281
191	117	2279
192	118	2277
193	118	2276
194	119	2275
195	119	2274
196	120	2273
197	121	2284
198	122	2283
199	123	2283
200	123	2282
201	124	2280
202	124	2278
203	125	2275
204	125	2273
205	126	2272
206	126	2270
207	127	2269
208	127	2267
209	128	2266
210	129	2265
211	129	2264
212	131	2275
213	131	2273
214	132	2272
215	132	2270
216	133	2269
217	133	2267
218	134	2264
219	134	2263
220	135	2261
221	136	2261
222	136	2260
223	137	2260
224	137	2258
225	138	2256
226	138	2254
227	139	2253
228	140	2252
229	140	2251
230	141	2251
231	141	2249
232	142	2248
233	142	2247
234	143	2245
235	144	2245
236	144	2246
237	145	2244
238	145	2243
239	146	2242
240	147	2241
241	147	2240
242	148	2249
243	149	2248
244	150	2247
245	150	2245
246	151	2243
247	151	2242
248	152	2241
249	152	2239
250	153	2238
251	153	2236
252	154	2235
253	155	2233
254	155	2232
255	156	2231
256	156	2230
257	158	2238
258	158	2236
259	159	2234
260	159	2233
261	160	2231
262	160	2230
263	161	2229
264	161	2228
265	163	2236
266	163	2234
267	164	2233
268	164	2231
269	165	2229
270	165	2228
271	166	2228
272	167	2226
273	167	2227
274	168	2226
275	168	2225
276	169	2223
277	170	2222
278	171	2230
279	171	2228
280	172	2227
281	172	2226
282	173	2225
283	174	2223
284	174	2222
285	175	2220
286	175	2219
287	176	2218
288	176	2216
289	177	2215
290	177	2214
291	178	2213
292	179	2211
293	179	2210
294	180	2208
295	180	2207
296	181	2206
297	181	2204
298	182	2203
299	182	2201
300	183	2199
301	183	2198
302	184	2197
303	185	2196
304	185	2194
305	186	2193
306	186	2191
307	187	2190
308	187	2188
309	188	2187
310	188	2185
311	189	2184
312	189	2183
313	190	2182
314	191	2181
315	191	2180
316	192	2179
317	192	2178
318	193	2177
319	193	2176
320	194	2175
321	194	2173
322	195	2172
323	196	2172
324	196	2170
325	197	2169
326	198	2174
327	198	2173
328	199	2172
329	200	2171
330	200	2169
331	201	2168
332	201	2168
333	202	2167
334	203	2174
335	204	2173
336	204	2173
337	205	2171
338	205	2169
339	206	2169
340	207	2168
341	207	2166
342	208	2164
343	208	2163
344	209	2161
345	209	2160
346	210	2159
347	210	2157
348	211	2156
349	211	2155
350	212	2154
351	212	2152
352	213	2151
353	213	2150
354	214	2149
355	215	2147
356	215	2146
357	216	2147
358	217	2147
359	217	2146
360	218	2146
361	218	2144
362	219	2146
363	220	2148
364	221	2147
365	221	2146
366	222	2145
367	222	2144
368	223	2143
369	223	2143
370	224	2146
371	225	2146
372	226	2144
373	226	2143
374	227	2148
375	228	2147
376	228	2146
377	229	2145
378	230	2144
379	230	2143
380	231	2141
381	231	2141
382	232	2140
383	232	2139
384	233	2137
385	233	2136
386	234	2135
387	234	2134
388	235	2132
389	236	2131
390	236	2129
391	237	2128
392	237	2127
393	240	2150
394	241	2150
395	242	2148
396	242	2147
397	243	2146
398	243	2145
399	244	2144
400	245	2145
401	245	2144
402	246	2142
403	246	2142
404	247	2140
405	247	2140
406	248	2138
407	248	2137
408	249	2136
409	249	2135
410	250	2133
411	251	2132
412	251	2131
413	252	2130
414	252	2128
415	253	2127
416	253	2126
417	254	2125
418	254	2123
419	255	2122
420	255	2121
421	256	2119
422	256	2119
423	257	2118
424	258	2118
425	258	2117
426	259	2116
427	259	2115
428	260	2114
429	261	2113
430	261	2113
431	262	2113
432	262	2112
433	263	2112
434	264	2113
435	266	2120
436	266	2120
437	267	2118
438	267	2117
439	268	2116
440	268	2115
441	269	2114
442	269	2113
443	270	2112
444	271	2111
445	271	2110
446	272	2109
447	272	2108
448	273	2107
449	273	2106
450	274	2105
451	274	2104
452	275	2103
453	276	2102
454	276	2101
455	277	2100
456	277	2099
457	278	2098
458	278	2097
459	279	2096
460	279	2095
461	280	2094
462	281	2093
463	281	2093
464	282	2093
465	282	2092
466	284	2097
467	284	2096
468	285	2096
469	286	2095
470	286	2095
471	287	2094
472	288	2094
473	288	2094
474	289	2094
475	290	2093
476	290	2093
477	291	2092
